,type,criterion,max_depth,min_sample_split,min_sample_leaf,TP,TN,FP,FN
464,part,entropy,25,40,60,132,272,116,205
465,all,entropy,25,40,60,126,238,150,211
466,part,entropy,25,40,80,112,284,104,225
467,all,entropy,25,40,80,126,246,142,211
468,part,entropy,25,40,100,99,289,99,238
469,all,entropy,25,40,100,124,254,134,213
470,part,entropy,25,60,20,152,238,150,185
471,all,entropy,25,60,20,136,233,155,201
472,part,entropy,25,60,40,134,263,125,203
473,all,entropy,25,60,40,139,229,159,198
474,part,entropy,25,60,60,132,272,116,205
475,all,entropy,25,60,60,126,238,150,211
476,part,entropy,25,60,80,112,284,104,225
477,all,entropy,25,60,80,126,246,142,211
478,part,entropy,25,60,100,99,289,99,238
479,all,entropy,25,60,100,124,254,134,213
480,part,entropy,25,80,20,147,249,139,190
481,all,entropy,25,80,20,140,240,148,197
482,part,entropy,25,80,40,134,263,125,203
483,all,entropy,25,80,40,139,229,159,198
484,part,entropy,25,80,60,132,272,116,205
485,all,entropy,25,80,60,126,238,150,211
486,part,entropy,25,80,80,112,284,104,225
487,all,entropy,25,80,80,126,246,142,211
488,part,entropy,25,80,100,99,289,99,238
489,all,entropy,25,80,100,124,254,134,213
490,part,entropy,25,100,20,142,255,133,195
491,all,entropy,25,100,20,136,230,158,201
492,part,entropy,25,100,40,139,261,127,198
493,all,entropy,25,100,40,135,228,160,202
494,part,entropy,25,100,60,132,272,116,205
495,all,entropy,25,100,60,126,238,150,211
496,part,entropy,25,100,80,112,284,104,225
497,all,entropy,25,100,80,126,246,142,211
498,part,entropy,25,100,100,99,289,99,238
499,all,entropy,25,100,100,124,254,134,213
